AsID,AsAlguseKpv,AsLopuKpv,AsKontakt,AsRegNumber,KdIDAsutuseLiik,AsLyhiNimi,AsPikkNimi,IAsIDLooja,LoodiKpv,IAsIDMuutja,MuudetiKpv,KustutatiKpv,AsMuuKeelesNimi,KdIDStaatus,AsIDYlemus,KdIDRiik,AsAsutuseAadress,AsInglise,AsSaksa,AsPrantsuse,AsAsutuseKood,AkpID
77,1998-12-27,,info@asutus76.ee,80193071,560,Pärnumaa Omavalitsuste Liit,Pärnumaa Omavalitsuste Liit,98.0,1987-07-27,,,,Muu keeles nimi,549,,,"Pärnu maakond, Pärnu linn, Pärnu linn, Ringi tn 35, 80012",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-5558,386
78,2017-10-26,,info@asutus77.ee,75010708,559,Raasiku Vallavalitsus,Raasiku Vallavalitsus,182.0,1983-09-03,310.0,2017-04-09,,Muu keeles nimi,549,,,"Harju maakond, Raasiku vald, Aruküla alevik, Tallinna mnt 24, 75201",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-6733,115
79,1986-02-26,,info@asutus78.ee,75026106,559,Rae Vallavalitsus,Rae Vallavalitsus,4.0,1980-06-13,,,,Muu keeles nimi,549,,,"Harju maakond, Rae vald, Jüri alevik, Aruküla tee 9, 75301",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-4266,430
80,1981-10-29,,info@asutus79.ee,75025064,559,Rakvere Linnavalitsus,Rakvere Linnavalitsus,60.0,1980-09-01,77.0,2010-09-12,,Muu keeles nimi,549,,,"Lääne-Viru maakond, Rakvere linn, Lai tn 20",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-4571,239
81,2002-12-27,,info@asutus80.ee,77000329,559,Rakvere Vallavalitsus,Rakvere Vallavalitsus,247.0,1987-07-12,,,,Muu keeles nimi,549,,,"Lääne-Viru maakond, Rakvere vald, Sõmeru alevik, Kooli tn 2, 44305",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-3683,494
82,2007-11-27,2008-06-24,info@asutus81.ee,80196268,560,Raplamaa Omavalitsuste Liit,Raplamaa Omavalitsuste Liit,262.0,1993-12-29,,,,Muu keeles nimi,549,,,"Rapla maakond, Rapla vald, Rapla linn, Tallinna mnt 12, 79513",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-7498,483
83,1997-10-16,2008-09-06,info@asutus82.ee,77000312,559,Rapla Vallavalitsus,Rapla Vallavalitsus,208.0,1982-04-14,,,,Muu keeles nimi,549,,,"Rapla maakond, Rapla vald, Rapla linn, Tallinna mnt 14, 79513",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-1672,178
84,2018-06-07,,info@asutus83.ee,14558025,560,Raudteevalitsuse villa OÜ,Raudteevalitsuse villa OÜ,87.0,1983-02-03,,,,Muu keeles nimi,549,,,"Harju maakond, Tallinn, Nõmme linnaosa, Remmelga tn 6/2, 11216",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-1207,435
85,2017-09-07,,info@asutus84.ee,80071818,560,Riigi- ja Omavalitsusasutuste Teenistujate Ametiühing,Riigi- ja Omavalitsusasutuste Teenistujate Ametiühing,218.0,1984-09-25,199.0,2000-12-24,,Muu keeles nimi,549,,,"Harju maakond, Tallinn, Kesklinna linnaosa, Parda tn 3 // 5 // 7, 10151",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-3506,223
86,1995-10-20,,info@asutus85.ee,77001642,560,Risti Osavalla Valitsus,Risti Osavalla Valitsus,298.0,1994-08-03,259.0,2018-09-23,,Muu keeles nimi,549,,,"Lääne maakond, Lääne-Nigula vald, Risti alevik, Tallinna mnt 4, 90901",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-8616,224
87,2004-01-29,,info@asutus86.ee,75023177,559,Ruhnu Vallavalitsus,Ruhnu Vallavalitsus,233.0,1991-01-05,,,,Muu keeles nimi,549,,,"Saare maakond, Ruhnu vald, Ruhnu küla, Vallamaja, 93001",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-5569,452
88,2020-06-10,,info@asutus87.ee,77000217,560,Rõuge Vallavalitsus,Rõuge Vallavalitsus,93.0,2000-11-04,,,,Muu keeles nimi,549,,,"Võru maakond, Rõuge vald, Rõuge alevik, Ööbikuoru tn 4, 66201",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-6511,15
89,2024-05-06,,info@asutus88.ee,75025503,560,Räpina Vallavalitsus,Räpina Vallavalitsus,62.0,1988-02-27,247.0,2004-01-27,,Muu keeles nimi,549,,,"Põlva maakond, Räpina vald, Räpina linn, Kooli tn 1, 64504",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-6576,144
90,2004-10-13,,info@asutus89.ee,75033454,559,Saarde Vallavalitsus,Saarde Vallavalitsus,207.0,2003-03-05,,,,Muu keeles nimi,549,,,"Pärnu maakond, Saarde vald, Kilingi-Nõmme linn, Nõmme tn 22, 86304",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-4954,369
91,2016-06-17,,info@asutus90.ee,77000306,560,Saaremaa Vallavalitsus,Saaremaa Vallavalitsus,204.0,2014-01-03,192.0,2024-09-07,,Muu keeles nimi,549,,,"Saare maakond, Saaremaa vald, Kuressaare linn, Tallinna tn 10, 93819",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-8342,406
92,1981-07-19,1991-06-27,info@asutus91.ee,75019738,560,Saku Vallavalitsus,Saku Vallavalitsus,77.0,1981-02-18,,,,Muu keeles nimi,549,,,"Harju maakond, Saku vald, Saku alevik, Juubelitammede tee 15, 75501",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-8753,284
93,2010-11-03,,info@asutus92.ee,77000430,560,Saue Vallavalitsus,Saue Vallavalitsus,33.0,2004-09-08,37.0,2020-06-13,,Muu keeles nimi,549,,,"Harju maakond, Saue vald, Saue linn, Kütise tn 8, 76505",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-5438,157
94,2002-07-21,,info@asutus93.ee,75025041,559,Setomaa Vallavalitsus,Setomaa Vallavalitsus,189.0,1988-08-21,110.0,2021-12-17,,Muu keeles nimi,549,,,"Võru maakond, Setomaa vald, Värska alevik, Pikk tn 12, 64001",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-4138,111
95,2023-06-10,,info@asutus94.ee,75003909,560,Sillamäe Linnavalitsus,Sillamäe Linnavalitsus,85.0,2006-06-12,,,,Muu keeles nimi,549,,,"Ida-Viru maakond, Sillamäe linn, Kesk tn 27, 40231",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-2647,427
96,1997-05-31,,info@asutus95.ee,77001659,559,Taebla Osavalla Valitsus,Taebla Osavalla Valitsus,162.0,1988-02-04,265.0,1988-09-22,,Muu keeles nimi,549,,,"Lääne maakond, Lääne-Nigula vald, Taebla alevik, Haapsalu mnt 6, 90801",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-5494,24
97,1984-11-21,,info@asutus96.ee,75014221,560,Tallinna Kesklinna Valitsus,Tallinna Kesklinna Valitsus,108.0,1983-11-29,,,,Muu keeles nimi,549,,,"Harju maakond, Tallinn, Kesklinna linnaosa, Nunne tn 18, 15058",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-2680,447
98,1981-02-05,,info@asutus97.ee,75033477,559,Tapa Vallavalitsus,Tapa Vallavalitsus,110.0,1980-08-28,113.0,1995-12-10,,Muu keeles nimi,549,,,"Lääne-Viru maakond, Tapa vald, Tapa linn, Pikk tn 15, 45106",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-1841,130
99,2022-11-10,2023-01-15,info@asutus98.ee,75006546,559,Tartu Linnavalitsus,Tartu Linnavalitsus,202.0,1997-12-22,287.0,2023-11-09,,Muu keeles nimi,549,,,"Tartu maakond, Tartu linn, Tartu linn, Raekoja plats 1a, 50089",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-3485,77
100,2007-04-05,2012-10-28,info@asutus99.ee,80190322,559,Tartumaa Omavalitsuste Liit,Tartumaa Omavalitsuste Liit,250.0,1985-04-24,,,,Muu keeles nimi,549,,,"Tartu maakond, Tartu linn, Tartu linn, Pepleri tn 6, 51003",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-9561,195
101,2020-06-01,,info@asutus100.ee,75006486,560,Tartu Vallavalitsus,Tartu Vallavalitsus,133.0,1993-05-03,,,,Muu keeles nimi,549,,,"Tartu maakond, Tartu vald, Kõrveküla alevik, Haava tn 6, 60512",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-6003,292
102,1985-05-27,,info@asutus101.ee,75001477,559,Toila Vallavalitsus,Toila Vallavalitsus,10.0,1984-02-24,316.0,2018-05-12,,Muu keeles nimi,549,,,"Ida-Viru maakond, Toila vald, Toila alevik, Pikk tn 13a, 41702",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-4457,136
103,1987-04-14,1995-01-29,info@asutus102.ee,77000341,560,Tori Vallavalitsus,Tori Vallavalitsus,317.0,1986-03-10,216.0,1986-04-22,,Muu keeles nimi,549,,,"Pärnu maakond, Tori vald, Sindi linn, Pärnu mnt 12, 86705",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-5771,17
104,2000-10-07,,info@asutus103.ee,77000418,560,Tõrva Vallavalitsus,Tõrva Vallavalitsus,274.0,1986-05-05,,,,Muu keeles nimi,549,,,"Valga maakond, Tõrva vald, Tõrva linn, Kevade tn 1, 68605",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-2166,352
105,2000-12-09,,info@asutus104.ee,75033460,559,Türi Vallavalitsus,Türi Vallavalitsus,212.0,1997-09-01,,,,Muu keeles nimi,549,,,"Järva maakond, Türi vald, Türi linn, Hariduse tn 3, 72213",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-7965,59
106,2000-03-02,,info@asutus105.ee,80194188,559,Valgamaa Omavalitsuste Liit,Valgamaa Omavalitsuste Liit,20.0,1985-12-16,,,,Muu keeles nimi,549,,,"Valga maakond, Valga vald, Valga linn, Kesk tn 12, 68203",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-1977,85
107,2007-08-06,,info@asutus106.ee,77000507,560,Valga Vallavalitsus,Valga Vallavalitsus,296.0,2005-07-13,,,,Muu keeles nimi,549,,,"Valga maakond, Valga vald, Valga linn, Puiestee tn 8, 68203",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-3037,240
108,2007-04-13,,info@asutus107.ee,80283130,560,MTÜ Valitsuse Varjend,MTÜ Valitsuse Varjend,298.0,1992-03-18,,,,Muu keeles nimi,549,,,"Harju maakond, Kose vald, Kose alevik, Hariduse tn 2, 75101",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-8172,42
109,1983-07-30,,info@asutus108.ee,75021250,559,Viimsi Vallavalitsus,Viimsi Vallavalitsus,58.0,1981-10-22,,,,Muu keeles nimi,549,,,"Harju maakond, Viimsi vald, Viimsi alevik, Nelgi tee 1, 74001",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-2496,118
110,1981-11-10,,info@asutus109.ee,75005222,559,Viljandi Linnavalitsus,Viljandi Linnavalitsus,93.0,1980-10-02,,,,Muu keeles nimi,549,,,"Viljandi maakond, Viljandi linn, Linnu tn 2, 71020",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-8708,266
111,2019-09-03,,info@asutus110.ee,80179941,560,Viljandimaa Omavalitsuste Liit,Viljandimaa Omavalitsuste Liit,189.0,1988-02-21,,,,Muu keeles nimi,549,,,"Viljandi maakond, Viljandi linn, Vabaduse plats 4, 71020",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-9056,497
112,1988-03-08,,info@asutus111.ee,75038606,559,Viljandi Vallavalitsus,Viljandi Vallavalitsus,41.0,1984-07-30,132.0,2014-08-21,,Muu keeles nimi,549,,,"Viljandi maakond, Viljandi vald, Viiratsi alevik, Sakala tn 1, 70101",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-3634,169
113,2016-12-05,,info@asutus112.ee,75008746,560,Vinni Vallavalitsus,Vinni Vallavalitsus,318.0,1992-12-05,,,,Muu keeles nimi,549,,,"Lääne-Viru maakond, Vinni vald, Pajusti alevik, Tartu mnt 2, 46603",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-1601,233
114,1987-11-25,,info@asutus113.ee,10913300,560,Virtuaalvalitsus TÜ,Virtuaalvalitsus TÜ,100.0,1983-08-17,137.0,2018-04-12,,Muu keeles nimi,549,,,"Tartu maakond, Tartu linn, Tartu linn, Veeriku tn 9-3, 50407",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-9431,423
115,1980-02-07,,info@asutus114.ee,75020500,559,Viru-Nigula vallavalitsus,Viru-Nigula vallavalitsus,318.0,1980-02-04,134.0,1984-12-15,,Muu keeles nimi,549,,,"Lääne-Viru maakond, Viru-Nigula vald, Kunda linn, Kasemäe tn 19, 44107",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-9494,186
116,2024-09-20,,info@asutus115.ee,75022427,559,Vormsi Vallavalitsus,Vormsi Vallavalitsus,66.0,2014-02-02,281.0,2020-01-29,,Muu keeles nimi,549,,,"Lääne maakond, Vormsi vald, Hullo küla, Külamaja, 91301",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-5719,225
117,2023-06-27,2025-04-02,info@asutus116.ee,75019980,560,Võru Linnavalitsus,Võru Linnavalitsus,223.0,2007-04-24,,,,Muu keeles nimi,549,,,"Võru maakond, Võru linn, Jüri tn 11, 65608",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-1224,283
118,2016-08-08,2017-11-15,info@asutus117.ee,80194583,559,Võrumaa Omavalitsuste Liit,Võrumaa Omavalitsuste Liit,50.0,2000-09-12,,,,Muu keeles nimi,549,,,"Võru maakond, Võru linn, Jüri tn 19a, 65608",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-9165,478
119,2006-03-08,,info@asutus118.ee,77000393,560,Võru Vallavalitsus,Võru Vallavalitsus,218.0,1992-04-06,262.0,2013-11-27,,Muu keeles nimi,549,,,"Võru maakond, Võru linn, Võrumõisa tee 4a, 65605",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-4993,234
120,1992-12-22,,info@asutus119.ee,75011694,559,Väike-Maarja Vallavalitsus,Väike-Maarja Vallavalitsus,127.0,1991-05-26,,,,Muu keeles nimi,549,,,"Lääne-Viru maakond, Väike-Maarja vald, Väike-Maarja alevik, Pikk tn 7, 46202",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-2143,142
121,2017-03-23,,info@asutus120.ee,11118868,559,Wide Media OÜ,Wide Media OÜ,12.0,2015-05-02,,,,Muu keeles nimi,549,,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 80, 10112",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-5634,372
